18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵18:58:24 | INFO | Value | 📝 Value score yakunlandi
18:58:24 | INFO | Value | 📝 Value score yakunlandi
18:58:24 | INFO | Value | 📝 Value score yakunlandi
18:58:24 | INFO | Value | 📝 Value score yakunlandi
18:58:24 | INFO | Value | 📝 Value score yakunlandi
NFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:15 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:25 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:25 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:25 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:25 | INFO | emotion | 🎵 Audio emotion yakunlandi
18:58:25 | INFO | emotion | 🎵 Audio emotion yakunlandi
| pipeline | 💡 Contrast score yakunlandi
18:58:24 | INFO | pipeline | 💡 Contrast score yakunlandi
18:58:24 | INFO | pipeline | 💡 Contrast score yakunlandi
18:58:24 | INFO | pipeline | 💡 Contrast score yakunlandi
18:58:24 | INFO | pipeline | 💡 Contrast score yakunlandi
Intensity | 📝 Intensity score yakunlandi
18:58:24 | INFO | Intensity | 📝 Intensity score yakunlandi
18:58:24 | INFO | Intensity | 📝 Intensity score yakunlandi
.8, end=942.8, duration=28.0s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=937.9, end=965.4, duration=27.5s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=942.8, end=968.7, duration=25.9s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=949.9, end=980.3, duration=30.4s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=961.0, end=992.0, duration=31.0s, segments=5
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=965.4, end=992.0, duration=26.6s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=974.0, end=1003.1, duration=29.1s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=992.1, end=1044.9, duration=52.8s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1036.7, end=1065.4, duration=28.7s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1046.8, end=1075.1, duration=28.3s, segments=2
